ID,Module,Legacy Function,Current Screen,Current Behavior,Target Contract,Status,Evidence
P-021,Project Core,Canonical project list and detail,/projects,Board/list and workflow modal exist,One projectId across assignment views,API_PARTIAL,projects/page.tsx; projectStore.ts
P-022,Project Core,Lifecycle and health,/projects,Status and board columns exist,Separate lifecycle and health commands,PARTIAL_UI,models.ts; projectWorkflow.ts
P-023,PM Schedule,Assign PM/resources,/schedules?view=PM_MANAGEMENT,Assignment controls and local fallback exist,Scoped assignment API,API_PARTIAL,work-pm-schedule.js; PmScheduleWorkbench.tsx
P-024,PM Schedule,"Draft, submit, approve, revision",/schedules?view=PM_MANAGEMENT,Draft/request/approve/reject flows exist,Revisioned schedule state machine,API_PARTIAL,projectPmScheduleApi.ts
P-025,Project Operation,"Meetings, calls, email, milestones",/projects?workflow={projectId},Timeline and start review modal exist,Canonical timeline API,API_PARTIAL,ProjectOperationModal.tsx
P-026,Questions,"Create, assign, comment, resolve, reopen",/projects/questions,QC panel covers part of question workflow,Separate ProjectQuestion aggregate,PARTIAL_UI,work-qc-checklist.js; ProjectQcPanel.tsx
P-027,QC,"Checklist, template, attachments, send/export",/projects/questions,Checklist/templates/export exist across current and legacy,ProjectQc aggregate and export request,API_PARTIAL,work-qc-checklist.js:9256-14375
P-028,Work Log,Daily report and approval,/projects/daily-reports,Daily reports and staged approvals exist,ProjectWorkLog API,API_PARTIAL,work-delivery-daily.js:301-335
P-029,Delivery,"Rounds, records, download approval, re-delivery",/projects/data-management?view=DELIVERY,UI and local/API wrapper exist,Delivery package and acknowledgement states,API_PARTIAL,work-delivery-daily.js:117-154
P-030,Profitability,"Labor, unit prices, snapshots",/projects?workflow={projectId}&tab=PROFIT,Editor exists; local fallback,Restricted versioned profitability API,API_PARTIAL,work-profit-analysis.js; ProjectProfitPanel.tsx
P-031,Notification,Project activation and workflow events,No complete project notification center,Local notification store only,Immutable event + preference-controlled delivery,MOCK_ONLY,Approved PI-API-01 design
P-032,Archive,Complete and archive,/projects,Completed status exists; explicit archive contract absent,Lifecycle command enforces explicit COMPLETED and ARCHIVED gates; archive is read-only and reopen is separately approved and audited.,CONTRACT_DEFINED,project-store.js; projectStore.ts; DEC-14 and Project lifecycle OpenAPI contract.
