Screen,Field,Input/Display,Required,Owner,Save Trigger,Endpoint,State,Permission
/projects/intake/estimate,XLSX and print preview,Output,No,FRONTEND + SERVER FILE [PROPOSAL],Export/print,GET /api/v1/estimate-submissions/{id}/document-reference or explicit FRONTEND_ONLY preview,No transition,ESTIMATE_DOCUMENT_DOWNLOAD
/projects/intake/estimates,submission filters,Input/display,No,SERVER [BACKEND_REQUIRED],Filter change,GET /api/v1/estimate-submissions,No transition,ESTIMATE_SUBMISSION_VIEW
/projects/intake/estimates,issued document reference,Display/output,Conditional,SERVER FILE [COMMON_CONTRACT],Download,GET /api/v1/estimate-submissions/{id}/document-reference,No transition,ESTIMATE_DOCUMENT_DOWNLOAD
/projects/intake/database,PJ and billing rows,Input/display,Conditional,SERVER [BACKEND_REQUIRED],Create/update/archive,GET|POST /api/v1/estimate-business-records; PATCH|DELETE /api/v1/estimate-business-records/{id},Record ACTIVE -> ARCHIVED; no Project transition,ESTIMATE_BUSINESS_DATA_MANAGE
/projects/intake/database,vendor and contact rows,Input/display,Conditional,SERVER [BACKEND_REQUIRED],Create/update/archive,GET|POST /api/v1/estimate-business-records; PATCH|DELETE /api/v1/estimate-business-records/{id},Record ACTIVE -> ARCHIVED; no Project transition,ESTIMATE_BUSINESS_DATA_MANAGE
/projects/intake/database,targets and reports,Input/display/output,No,SERVER [BACKEND_REQUIRED],Query/report/export,GET /api/v1/estimate-business-data/reports; POST /api/v1/estimate-business-data/export-requests,No Project transition,ESTIMATE_BUSINESS_DATA_VIEW|EXPORT
Future execution-plan screen,primaryOrganizationUnitId,Input/display,Yes,SERVER [POLICY_FROZEN],Save plan,PATCH /api/v1/project-execution-plans/{id},DRAFT -> DRAFT,EXECUTION_PLAN_EDIT
Future execution-plan screen,primaryTeamUnitId,Input/display,Yes,SERVER [POLICY_FROZEN],Save plan,PATCH /api/v1/project-execution-plans/{id},DRAFT -> DRAFT,EXECUTION_PLAN_EDIT
Future execution-plan screen,participant/support units,Input/display,No,SERVER [POLICY_FROZEN],Save plan,PATCH /api/v1/project-execution-plans/{id},DRAFT -> DRAFT,EXECUTION_PLAN_EDIT
Future execution-plan screen,pmCandidatePersonnelCardId,Input/display,No,SERVER [PROPOSAL],Save plan,PATCH /api/v1/project-execution-plans/{id},DRAFT -> DRAFT,EXECUTION_PLAN_EDIT
Future execution-plan screen,confirm/cancel,Input,Conditional,SERVER [BACKEND_REQUIRED],Confirm or cancel button,POST /api/v1/project-execution-plans/{id}/confirm|cancel,DRAFT -> CONFIRMED|CANCELLED,EXECUTION_PLAN_CONFIRM|CANCEL
/projects/intake?tab=INTAKE,Create Draft,Input,Yes,SERVER [BACKEND_REQUIRED],Start intake,POST /api/v1/project-intakes,none -> DRAFT; reserve canonical projectId,PROJECT_INTAKE_CREATE
/projects/intake?tab=INTAKE,"Step 1 basics, nature and scope",Input/display,Yes,SERVER DRAFT [BACKEND_REQUIRED],Save Step 1,PATCH /api/v1/project-intakes/{id}/steps/1,DRAFT|CHANGES_REQUESTED -> same,PROJECT_INTAKE_EDIT
/projects/intake?tab=INTAKE,Step 2 materials and READY fileIds,Input/display,Conditional,SERVER DRAFT + FILE [COMMON_CONTRACT],Save Step 2,PATCH /api/v1/project-intakes/{id}/steps/2,DRAFT|CHANGES_REQUESTED -> same,PROJECT_INTAKE_EDIT
/projects/intake?tab=INTAKE,"Step 3 dates, organizations, teams and PM candidate",Input/display,Yes,SERVER DRAFT [POLICY_FROZEN],Save Step 3,PATCH /api/v1/project-intakes/{id}/steps/3,DRAFT|CHANGES_REQUESTED -> same,PROJECT_INTAKE_EDIT
/projects/intake?tab=INTAKE,"Step 4 contacts, requests and READY fileIds",Input/display,Conditional,SERVER DRAFT + FILE [COMMON_CONTRACT],Save Step 4,PATCH /api/v1/project-intakes/{id}/steps/4,DRAFT|CHANGES_REQUESTED -> same,PROJECT_INTAKE_EDIT
/projects/intake?tab=INTAKE,Previous/Next,Navigation,No,FRONTEND [FRONTEND_VERIFIED],Navigation button,FRONTEND_ONLY; must not show saved success,No transition,PROJECT_INTAKE_VIEW
/projects/intake?tab=INTAKE,Submit,Input,Conditional,SERVER [BACKEND_REQUIRED],Submit button after full validation,POST /api/v1/project-intakes/{id}/submit,DRAFT|CHANGES_REQUESTED -> SUBMITTED,PROJECT_INTAKE_SUBMIT
/projects/intake?tab=INTAKE,Review/request changes/resubmit,Input/display,Conditional,SERVER [BACKEND_REQUIRED],Policy action,POST /api/v1/project-intakes/{id}/review|request-changes|resubmit,SUBMITTED -> UNDER_REVIEW -> CHANGES_REQUESTED -> SUBMITTED,PROJECT_INTAKE_REVIEW|SUBMIT
/projects/intake?tab=INTAKE,Approve/cancel,Input,Conditional,SERVER [POLICY_FROZEN],Final action,POST /api/v1/project-intakes/{id}/approve|cancel,UNDER_REVIEW -> APPROVED or active -> CANCELLED,PROJECT_INTAKE_APPROVE|CANCEL
/schedules?view=PM_MANAGEMENT,PM and resource personnel IDs,Input/display,Yes before submit,SERVER [BACKEND_REQUIRED],Assign,POST /api/v1/projects/{id}/pm-schedule/assign,PENDING_ASSIGNMENT -> PM_ASSIGNED,PROJECT_SCHEDULE_ASSIGN
/schedules?view=PM_MANAGEMENT,planned dates and workload,Input/display,Yes before submit,SERVER [BACKEND_REQUIRED],Save Draft,PATCH /api/v1/projects/{id}/pm-schedule,PM_ASSIGNED|DRAFT_REQUESTED -> DRAFTING,PROJECT_SCHEDULE_EDIT
/schedules?view=PM_MANAGEMENT,Submit/approve/reject,Input,Conditional,SERVER [BACKEND_REQUIRED],Workflow action,POST /api/v1/projects/{id}/pm-schedule/submit|approve|reject,DRAFTING -> SUBMITTED -> APPROVED|REJECTED,PROJECT_SCHEDULE_SUBMIT|APPROVE
/schedules?view=PM_MANAGEMENT,Revision history,Display,No,SERVER [BACKEND_REQUIRED],Open history,GET /api/v1/projects/{id}/pm-schedule/revisions,No transition,PROJECT_SCHEDULE_VIEW
/projects/questions,question basics and assignee,Input/display,Yes,SERVER [BACKEND_REQUIRED],Create/assign,POST /api/v1/projects/{projectId}/questions; POST /api/v1/project-questions/{id}/assign,OPEN -> ASSIGNED,PROJECT_QUESTION_CREATE|ASSIGN
/projects/questions,comment and READY fileIds,Input/display,No,SERVER + FILE [COMMON_CONTRACT],Comment/attach,POST /api/v1/project-questions/{id}/comments|files,No aggregate transition,PROJECT_QUESTION_COMMENT
/projects/questions,resolve/reopen,Input,Conditional,SERVER [BACKEND_REQUIRED],Resolve/reopen button,POST /api/v1/project-questions/{id}/resolve|reopen,ASSIGNED|ANSWERED -> RESOLVED -> REOPENED,PROJECT_QUESTION_RESOLVE
/projects/questions,question template,Input/display,No,SERVER [BACKEND_REQUIRED],Apply template,GET /api/v1/question-templates,No transition,PROJECT_QUESTION_VIEW
/projects/questions,QC checklist and READY evidence,Input/display,Conditional,SERVER + FILE [COMMON_CONTRACT],Save QC,GET|PATCH /api/v1/projects/{projectId}/qc,DRAFT -> DRAFT,PROJECT_QC_MANAGE
/projects/questions,QC review/approve/send/export,Input/output,Conditional,SERVER [BACKEND_REQUIRED],Workflow/export action,POST /api/v1/projects/{projectId}/qc/request-review|approve|send|export-request,DRAFT -> REVIEW_REQUESTED -> APPROVED -> SENT,PROJECT_QC_REVIEW|APPROVE|EXPORT
/projects/daily-reports,"date, progress, plan and result",Input/display,Yes,SERVER [BACKEND_REQUIRED],Create/update,POST /api/v1/projects/{projectId}/work-logs; PATCH /api/v1/project-work-logs/{id},DRAFT -> DRAFT,PROJECT_WORK_LOG_CREATE|EDIT
/projects/daily-reports,READY attachments,Input/display,No,SERVER FILE [COMMON_CONTRACT],Attach file,POST /api/v1/project-work-logs/{id}/files,DRAFT -> DRAFT,PROJECT_WORK_LOG_EDIT
/projects/daily-reports,submit/approve,Input,Conditional,SERVER [BACKEND_REQUIRED],Workflow action,POST /api/v1/project-work-logs/{id}/submit|approve,DRAFT -> SUBMITTED -> APPROVED,PROJECT_WORK_LOG_SUBMIT|APPROVE
/projects?workflow={projectId},"meeting title, date, attendees and decisions",Input/display,Yes,SERVER [BACKEND_REQUIRED],Create/update minutes,POST /api/v1/projects/{projectId}/meeting-minutes; PATCH /api/v1/project-meeting-minutes/{id},none -> DRAFT -> PUBLISHED,PROJECT_MEETING_CREATE|EDIT
/projects?workflow={projectId},meeting READY attachments,Input/display,No,SERVER FILE [COMMON_CONTRACT],Attach file,POST /api/v1/project-meeting-minutes/{id}/files,No aggregate transition,PROJECT_MEETING_EDIT
/projects/data-management?view=DELIVERY,delivery round and READY package files,Input/display,Yes before submit,SERVER + FILE [COMMON_CONTRACT],Create/update delivery,POST /api/v1/projects/{projectId}/deliveries; PATCH /api/v1/project-deliveries/{id},DRAFT -> DRAFT,PROJECT_DELIVERY_EDIT
/projects/data-management?view=DELIVERY,submit/approve/deliver,Input,Conditional,SERVER [BACKEND_REQUIRED],Workflow action,POST /api/v1/project-deliveries/{id}/submit|approve|deliver,DRAFT -> SUBMITTED -> APPROVED -> DELIVERED,PROJECT_DELIVERY_SUBMIT|APPROVE|DELIVER
/projects/data-management?view=DELIVERY,recipient acknowledgement,Input/display,Conditional,SERVER [BACKEND_REQUIRED],Acknowledge,POST /api/v1/project-deliveries/{id}/acknowledge,DELIVERED -> ACKNOWLEDGED,PROJECT_DELIVERY_ACKNOWLEDGE
/projects/data-management?view=DELIVERY,re-delivery,Input/display,Conditional,SERVER [BACKEND_REQUIRED],Create re-delivery,POST /api/v1/project-deliveries/{id}/redelivery,ACKNOWLEDGED|DELIVERED -> immutable child DRAFT,PROJECT_DELIVERY_EDIT
/projects/data-management?view=DELIVERY,authorized package reference,Output,Conditional,SERVER FILE [COMMON_CONTRACT],Download,GET /api/v1/project-deliveries/{id}/package-reference,No transition,PROJECT_DELIVERY_DOWNLOAD
/projects?workflow={projectId}&tab=PROFIT,"revenue, cost, labor and unit prices",Input/display,Yes for save,SERVER SENSITIVE [POLICY_FROZEN],Save,GET|PATCH /api/v1/projects/{projectId}/profitability,DRAFT|CURRENT -> CURRENT,PROJECT_PROFITABILITY_VIEW|EDIT
/projects?workflow={projectId}&tab=PROFIT,profitability snapshot,Input/display,Conditional,SERVER SENSITIVE [BACKEND_REQUIRED],Create snapshot,POST /api/v1/projects/{projectId}/profitability/snapshots,CURRENT -> immutable snapshot,PROJECT_PROFITABILITY_SNAPSHOT
/projects?workflow={projectId},activity timeline,Display,No,SERVER [BACKEND_REQUIRED],Open workflow,GET /api/v1/projects/{id}/timeline,No transition,PROJECT_VIEW
Project notification surface,project workflow notifications,Display/action,No,SERVER EVENT [BACKEND_REQUIRED],List/read/open route,GET /api/v1/project-notifications; POST /api/v1/project-notifications/{id}/read,UNREAD -> READ delivery state only,PROJECT_NOTIFICATION_VIEW
