Module,Permission,Grant Source,Company Scope,Organization Scope,Project Scope,Frontend,Server,Status
Internal Claims,VIEW_CASE,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Internal Claims,CREATE_CASE,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Internal Claims,EDIT_CASE,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Internal Claims,MANAGE_EVIDENCE,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Internal Claims,VIEW_RESTRICTED_EVIDENCE,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Internal Claims,MANAGE_LEGAL_HOLD,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
External Claim Service,VIEW_CASE,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
External Claim Service,CREATE_CASE,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
External Claim Service,EDIT_CASE,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
External Claim Service,MANAGE_EVIDENCE,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
External Claim Service,EDIT_ANALYSIS,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
External Claim Service,REVIEW_REPORT,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
External Claim Service,APPROVE_REPORT,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
External Claim Service,ISSUE_REPORT,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
External Claim Service,USE_AI_ASSISTANCE,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
"AI, OCR, STT and RAG",USE_AI_ASSISTANCE,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
"AI, OCR, STT and RAG",VIEW_RESTRICTED_EVIDENCE,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Business and Support Search,SOURCE_PERMISSION_REQUIRED,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
