Module,Screen,Field/Action,Current,Storage Owner,Save Trigger,Endpoint,State,Permission,Provider/GOU
Electronic Tax Invoices,Tax Invoice Draft,"Tax Invoice Draft fields, filters, validation, loading/empty/error and permission state",MISSING,ACCOUNTING_RECORD,Read/refresh,GET /api/v1/tax-invoices,DRAFT|VALIDATION_REQUIRED|APPROVAL_PENDING|APPROVED|SUBMISSION_PENDING|SUBMITTED|ACCEPTED|REJECTED|FAILED|CANCELLED|CORRECTION_REQUIRED|CORRECTED,MANAGE_TAX_INVOICE,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Electronic Tax Invoices,Provider Status,"Provider Status fields, filters, validation, loading/empty/error and permission state",MISSING,ACCOUNTING_RECORD,Explicit user command,POST /api/v1/tax-invoices,DRAFT|VALIDATION_REQUIRED|APPROVAL_PENDING|APPROVED|SUBMISSION_PENDING|SUBMITTED|ACCEPTED|REJECTED|FAILED|CANCELLED|CORRECTION_REQUIRED|CORRECTED,MANAGE_TAX_INVOICE,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Electronic Tax Invoices,Correction,"Correction fields, filters, validation, loading/empty/error and permission state",MISSING,ACCOUNTING_RECORD,Read/refresh,GET /api/v1/tax-invoices/{taxInvoiceId},DRAFT|VALIDATION_REQUIRED|APPROVAL_PENDING|APPROVED|SUBMISSION_PENDING|SUBMITTED|ACCEPTED|REJECTED|FAILED|CANCELLED|CORRECTION_REQUIRED|CORRECTED,MANAGE_TAX_INVOICE,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
"HR, Organization and Account",Organization,"Organization fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Read/refresh,GET /api/v1/organization-units,ACTIVE|LEAVE|SUSPENDED|TERMINATED,VIEW_DIRECTORY,BACKEND_REQUIRED; LEGACY_GOU_SOURCE
"HR, Organization and Account",Personnel Directory,"Personnel Directory fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Explicit user command,POST /api/v1/organization-units,ACTIVE|LEAVE|SUSPENDED|TERMINATED,MANAGE_ORGANIZATION,BACKEND_REQUIRED; LEGACY_GOU_SOURCE
"HR, Organization and Account",Personnel Detail,"Personnel Detail fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Read/refresh,GET /api/v1/organization-units/{organizationUnitId},ACTIVE|LEAVE|SUSPENDED|TERMINATED,VIEW_DIRECTORY,BACKEND_REQUIRED; LEGACY_GOU_SOURCE
"HR, Organization and Account",Membership,"Membership fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Explicit user command,PATCH /api/v1/organization-units/{organizationUnitId},ACTIVE|LEAVE|SUSPENDED|TERMINATED,MANAGE_ORGANIZATION,BACKEND_REQUIRED; LEGACY_GOU_SOURCE
"HR, Organization and Account",Account,"Account fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Read/refresh,GET /api/v1/personnel,ACTIVE|LEAVE|SUSPENDED|TERMINATED,VIEW_DIRECTORY,BACKEND_REQUIRED; LEGACY_GOU_SOURCE
"HR, Organization and Account",Roles,"Roles fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Explicit user command,POST /api/v1/personnel,ACTIVE|LEAVE|SUSPENDED|TERMINATED,EDIT_PERSONNEL,BACKEND_REQUIRED; LEGACY_GOU_SOURCE
"HR, Organization and Account",Delegation,"Delegation fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Read/refresh,GET /api/v1/personnel/{personnelId},ACTIVE|LEAVE|SUSPENDED|TERMINATED,VIEW_DIRECTORY,BACKEND_REQUIRED; LEGACY_GOU_SOURCE
"HR, Organization and Account",Leave Overlay,"Leave Overlay fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Explicit user command,PATCH /api/v1/personnel/{personnelId},ACTIVE|LEAVE|SUSPENDED|TERMINATED,EDIT_PERSONNEL,BACKEND_REQUIRED; LEGACY_GOU_SOURCE
"HR, Organization and Account",Import Review,"Import Review fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Read/refresh,GET /api/v1/personnel/{personnelId}/memberships,ACTIVE|LEAVE|SUSPENDED|TERMINATED,VIEW_DIRECTORY,BACKEND_REQUIRED; LEGACY_GOU_SOURCE
Drive and Google Shared Drive,Home,"Home fields, filters, validation, loading/empty/error and permission state",MISSING,PROVIDER_BACKED,Read/refresh,GET /api/v1/drive/capabilities,NOT_CONFIGURED|PENDING|ACTIVE|DEGRADED|DISABLED,VIEW,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Drive and Google Shared Drive,Organization Drives,"Organization Drives fields, filters, validation, loading/empty/error and permission state",MISSING,PROVIDER_BACKED,Read/refresh,GET /api/v1/drive/roots,NOT_CONFIGURED|PENDING|ACTIVE|DEGRADED|DISABLED,VIEW,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Drive and Google Shared Drive,Project Folder,"Project Folder fields, filters, validation, loading/empty/error and permission state",MISSING,PROVIDER_BACKED,Read/refresh,GET /api/v1/drive/items/{driveItemId},NOT_CONFIGURED|PENDING|ACTIVE|DEGRADED|DISABLED,VIEW,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Drive and Google Shared Drive,Claim Folder,"Claim Folder fields, filters, validation, loading/empty/error and permission state",MISSING,PROVIDER_BACKED,Read/refresh,GET /api/v1/drive/items/{driveItemId}/children,NOT_CONFIGURED|PENDING|ACTIVE|DEGRADED|DISABLED,VIEW,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Drive and Google Shared Drive,Recent,"Recent fields, filters, validation, loading/empty/error and permission state",MISSING,PROVIDER_BACKED,Explicit user command,POST /api/v1/drive/folders,NOT_CONFIGURED|PENDING|ACTIVE|DEGRADED|DISABLED,VIEW,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Drive and Google Shared Drive,Shared,"Shared fields, filters, validation, loading/empty/error and permission state",MISSING,PROVIDER_BACKED,Read/refresh,GET /api/v1/drive-bindings,NOT_CONFIGURED|PENDING|ACTIVE|DEGRADED|DISABLED,MANAGE_PROVIDER,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Drive and Google Shared Drive,Favorites,"Favorites fields, filters, validation, loading/empty/error and permission state",MISSING,PROVIDER_BACKED,Explicit user command,POST /api/v1/drive-bindings,NOT_CONFIGURED|PENDING|ACTIVE|DEGRADED|DISABLED,MANAGE_PROVIDER,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Drive and Google Shared Drive,Trash,"Trash fields, filters, validation, loading/empty/error and permission state",MISSING,PROVIDER_BACKED,Explicit user command,POST /api/v1/project-folders,NOT_CONFIGURED|PENDING|ACTIVE|DEGRADED|DISABLED,MANAGE_PROVIDER,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Drive and Google Shared Drive,Provider Settings,"Provider Settings fields, filters, validation, loading/empty/error and permission state",MISSING,PROVIDER_BACKED,Explicit user command,POST /api/v1/claim-folders,NOT_CONFIGURED|PENDING|ACTIVE|DEGRADED|DISABLED,MANAGE_PROVIDER,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Drive and Google Shared Drive,Sync Conflicts,"Sync Conflicts fields, filters, validation, loading/empty/error and permission state",MISSING,PROVIDER_BACKED,Read/refresh,GET /api/v1/drive/items/{driveItemId}/permissions,NOT_CONFIGURED|PENDING|ACTIVE|DEGRADED|DISABLED,MANAGE_PERMISSION,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Internal Claims,Internal Claim Dashboard,"Internal Claim Dashboard fields, filters, validation, loading/empty/error and permission state",MISSING,LEGAL_RECORD,Read/refresh,GET /api/v1/internal-claims,RECEIVED|TRIAGE|ASSIGNED|INVESTIGATING|ACTION_PENDING|RESOLVED|CLOSED|REOPENED,VIEW_CASE,BACKEND_REQUIRED; GOU_UNKNOWN_READ_ONLY_DEFERRED
Internal Claims,Internal Claim List,"Internal Claim List fields, filters, validation, loading/empty/error and permission state",MISSING,LEGAL_RECORD,Explicit user command,POST /api/v1/internal-claims,RECEIVED|TRIAGE|ASSIGNED|INVESTIGATING|ACTION_PENDING|RESOLVED|CLOSED|REOPENED,VIEW_CASE,BACKEND_REQUIRED; GOU_UNKNOWN_READ_ONLY_DEFERRED
Internal Claims,Internal Claim Detail,"Internal Claim Detail fields, filters, validation, loading/empty/error and permission state",MISSING,LEGAL_RECORD,Read/refresh,GET /api/v1/internal-claims/{claimId},RECEIVED|TRIAGE|ASSIGNED|INVESTIGATING|ACTION_PENDING|RESOLVED|CLOSED|REOPENED,VIEW_CASE,BACKEND_REQUIRED; GOU_UNKNOWN_READ_ONLY_DEFERRED
Internal Claims,Issue,"Issue fields, filters, validation, loading/empty/error and permission state",MISSING,LEGAL_RECORD,Explicit user command,PATCH /api/v1/internal-claims/{claimId},RECEIVED|TRIAGE|ASSIGNED|INVESTIGATING|ACTION_PENDING|RESOLVED|CLOSED|REOPENED,VIEW_CASE,BACKEND_REQUIRED; GOU_UNKNOWN_READ_ONLY_DEFERRED
Internal Claims,Evidence,"Evidence fields, filters, validation, loading/empty/error and permission state",MISSING,LEGAL_RECORD,Explicit user command,POST /api/v1/internal-claims/{claimId}/triage,RECEIVED|TRIAGE|ASSIGNED|INVESTIGATING|ACTION_PENDING|RESOLVED|CLOSED|REOPENED,VIEW_CASE,BACKEND_REQUIRED; GOU_UNKNOWN_READ_ONLY_DEFERRED
Internal Claims,Deadline,"Deadline fields, filters, validation, loading/empty/error and permission state",MISSING,LEGAL_RECORD,Explicit user command,POST /api/v1/internal-claims/{claimId}/assign,RECEIVED|TRIAGE|ASSIGNED|INVESTIGATING|ACTION_PENDING|RESOLVED|CLOSED|REOPENED,VIEW_CASE,BACKEND_REQUIRED; GOU_UNKNOWN_READ_ONLY_DEFERRED
External Claim Service,Claim Service Dashboard,"Claim Service Dashboard fields, filters, validation, loading/empty/error and permission state",MISSING,LEGAL_RECORD,Read/refresh,GET /api/v1/claim-service-projects,INTAKE|CONFLICT_CHECK|PROPOSAL|CONTRACTED|ACTIVE|REVIEW|DELIVERED|CLOSED|CANCELLED,VIEW_CASE,BACKEND_REQUIRED; GOU_UNKNOWN_READ_ONLY_DEFERRED
External Claim Service,Claim Service List,"Claim Service List fields, filters, validation, loading/empty/error and permission state",MISSING,LEGAL_RECORD,Explicit user command,POST /api/v1/claim-service-projects,INTAKE|CONFLICT_CHECK|PROPOSAL|CONTRACTED|ACTIVE|REVIEW|DELIVERED|CLOSED|CANCELLED,VIEW_CASE,BACKEND_REQUIRED; GOU_UNKNOWN_READ_ONLY_DEFERRED
External Claim Service,Claim Service Detail,"Claim Service Detail fields, filters, validation, loading/empty/error and permission state",MISSING,LEGAL_RECORD,Read/refresh,GET /api/v1/claim-service-projects/{claimServiceProjectId},INTAKE|CONFLICT_CHECK|PROPOSAL|CONTRACTED|ACTIVE|REVIEW|DELIVERED|CLOSED|CANCELLED,VIEW_CASE,BACKEND_REQUIRED; GOU_UNKNOWN_READ_ONLY_DEFERRED
External Claim Service,Dispute,"Dispute fields, filters, validation, loading/empty/error and permission state",MISSING,LEGAL_RECORD,Explicit user command,PATCH /api/v1/claim-service-projects/{claimServiceProjectId},INTAKE|CONFLICT_CHECK|PROPOSAL|CONTRACTED|ACTIVE|REVIEW|DELIVERED|CLOSED|CANCELLED,VIEW_CASE,BACKEND_REQUIRED; GOU_UNKNOWN_READ_ONLY_DEFERRED
External Claim Service,Issue Matrix,"Issue Matrix fields, filters, validation, loading/empty/error and permission state",MISSING,LEGAL_RECORD,Explicit user command,POST /api/v1/claim-service-projects/{claimServiceProjectId}/conflict-check,INTAKE|CONFLICT_CHECK|PROPOSAL|CONTRACTED|ACTIVE|REVIEW|DELIVERED|CLOSED|CANCELLED,VIEW_CASE,BACKEND_REQUIRED; GOU_UNKNOWN_READ_ONLY_DEFERRED
External Claim Service,Evidence,"Evidence fields, filters, validation, loading/empty/error and permission state",MISSING,LEGAL_RECORD,Explicit user command,POST /api/v1/claim-service-projects/{claimServiceProjectId}/activate,INTAKE|CONFLICT_CHECK|PROPOSAL|CONTRACTED|ACTIVE|REVIEW|DELIVERED|CLOSED|CANCELLED,VIEW_CASE,BACKEND_REQUIRED; GOU_UNKNOWN_READ_ONLY_DEFERRED
External Claim Service,Meeting,"Meeting fields, filters, validation, loading/empty/error and permission state",MISSING,LEGAL_RECORD,Explicit user command,POST /api/v1/claim-service-projects/{claimServiceProjectId}/close,INTAKE|CONFLICT_CHECK|PROPOSAL|CONTRACTED|ACTIVE|REVIEW|DELIVERED|CLOSED|CANCELLED,VIEW_CASE,BACKEND_REQUIRED; GOU_UNKNOWN_READ_ONLY_DEFERRED
External Claim Service,Call/Transcript,"Call/Transcript fields, filters, validation, loading/empty/error and permission state",MISSING,LEGAL_RECORD,Read/refresh,GET /api/v1/claim-service-projects/{claimServiceProjectId}/disputes,INTAKE|CONFLICT_CHECK|PROPOSAL|CONTRACTED|ACTIVE|REVIEW|DELIVERED|CLOSED|CANCELLED,VIEW_CASE,BACKEND_REQUIRED; GOU_UNKNOWN_READ_ONLY_DEFERRED
External Claim Service,Deadline,"Deadline fields, filters, validation, loading/empty/error and permission state",MISSING,LEGAL_RECORD,Explicit user command,POST /api/v1/claim-service-projects/{claimServiceProjectId}/disputes,INTAKE|CONFLICT_CHECK|PROPOSAL|CONTRACTED|ACTIVE|REVIEW|DELIVERED|CLOSED|CANCELLED,VIEW_CASE,BACKEND_REQUIRED; GOU_UNKNOWN_READ_ONLY_DEFERRED
External Claim Service,Report,"Report fields, filters, validation, loading/empty/error and permission state",MISSING,LEGAL_RECORD,Read/refresh,GET /api/v1/claim-service-projects/{claimServiceProjectId}/issues,INTAKE|CONFLICT_CHECK|PROPOSAL|CONTRACTED|ACTIVE|REVIEW|DELIVERED|CLOSED|CANCELLED,VIEW_CASE,BACKEND_REQUIRED; GOU_UNKNOWN_READ_ONLY_DEFERRED
External Claim Service,AI Assistant,"AI Assistant fields, filters, validation, loading/empty/error and permission state",MISSING,LEGAL_RECORD,Explicit user command,POST /api/v1/claim-service-projects/{claimServiceProjectId}/issues,INTAKE|CONFLICT_CHECK|PROPOSAL|CONTRACTED|ACTIVE|REVIEW|DELIVERED|CLOSED|CANCELLED,VIEW_CASE,BACKEND_REQUIRED; GOU_UNKNOWN_READ_ONLY_DEFERRED
External Claim Service,Drive,"Drive fields, filters, validation, loading/empty/error and permission state",MISSING,LEGAL_RECORD,Read/refresh,GET /api/v1/claim-service-projects/{claimServiceProjectId}/evidence,INTAKE|CONFLICT_CHECK|PROPOSAL|CONTRACTED|ACTIVE|REVIEW|DELIVERED|CLOSED|CANCELLED,VIEW_CASE,BACKEND_REQUIRED; GOU_UNKNOWN_READ_ONLY_DEFERRED
"AI, OCR, STT and RAG",Capability,"Capability fields, filters, validation, loading/empty/error and permission state",MISSING,SERVER_PERSISTENCE_REQUIRED,Read/refresh,GET /api/v1/ai/capabilities,QUEUED|RUNNING|REVIEW_REQUIRED|SUCCEEDED|FAILED|CANCELLED|EXPIRED,USE_AI_ASSISTANCE,PROVIDER_TBD_CONTRACT_COMPLETE; OUT_OF_SCOPE_APPROVED
"AI, OCR, STT and RAG",OCR Job,"OCR Job fields, filters, validation, loading/empty/error and permission state",MISSING,SERVER_PERSISTENCE_REQUIRED,Explicit user command,POST /api/v1/ai/ocr-jobs,QUEUED|RUNNING|REVIEW_REQUIRED|SUCCEEDED|FAILED|CANCELLED|EXPIRED,USE_AI_ASSISTANCE,PROVIDER_TBD_CONTRACT_COMPLETE; OUT_OF_SCOPE_APPROVED
"AI, OCR, STT and RAG",Transcription Job,"Transcription Job fields, filters, validation, loading/empty/error and permission state",MISSING,SERVER_PERSISTENCE_REQUIRED,Explicit user command,POST /api/v1/ai/transcription-jobs,QUEUED|RUNNING|REVIEW_REQUIRED|SUCCEEDED|FAILED|CANCELLED|EXPIRED,USE_AI_ASSISTANCE,PROVIDER_TBD_CONTRACT_COMPLETE; OUT_OF_SCOPE_APPROVED
