Module,Screen,Action,Fields,CurrentBehavior,RequiredSaveBehavior,Endpoint,Permission,StateTransition,FileContract,ProjectLink,EvidenceClass,DataOwnership,FinalContractClassification
Tasks,Task list/board,List scoped tasks,"scope, status, assignee, projectId",Zustand task-storage,server query,GET /api/v1/tasks,TASK_VIEW,none,none,canonical projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Tasks,Task editor,Create task,"scope, title, assignees, due, projectId",local addTask,server create,POST /api/v1/tasks,TASK_CREATE,none->TODO,optional file contract,canonical projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Tasks,Task editor,Update task,"task fields, revision",local update,server optimistic concurrency,PATCH /api/v1/tasks/{id},TASK_EDIT,revision update,optional file contract,canonical projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Tasks,Task card,Transition,"targetStatus, reason, revision",local status mutation,server state machine,POST /api/v1/tasks/{id}/transitions,TASK_TRANSITION,TODO|IN_PROGRESS|BLOCKED|DONE|CANCELLED,none,canonical projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Tasks,Checklist,Add/toggle/delete,"label, completed, revision",local arrays,server child resources,POST/PATCH/DELETE /api/v1/tasks/{id}/checklist-items,TASK_EDIT,checklist revision,none,inherit task projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Tasks,Comments,Add/list,body,local progress/memo concepts,server immutable comment + moderation,POST/GET /api/v1/tasks/{id}/comments,TASK_COMMENT,none,optional READY refs deferred,inherit task projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Tasks,Reminder,Create/cancel,"recipient, remindAt, channel",partial local notifications,server reminder scheduler,POST/DELETE /api/v1/tasks/{id}/reminders,TASK_EDIT,SCHEDULED->DELIVERED|CANCELLED|FAILED,none,inherit task projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Board,Board directory,List spaces,"type, orgId, projectId",fixed categories,server scoped spaces,GET /api/v1/board-spaces,BOARD_VIEW,none,none,canonical projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Board,Post list,List/filter,"spaceId, status, query",local persisted posts,server query,GET /api/v1/board-posts,BOARD_VIEW,none,none,canonical projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Board,Post editor,Save draft,"space, title, body, files, dates, mandatoryRead",local addPost immediately visible,server Draft,POST /api/v1/board-posts,BOARD_CREATE,none->DRAFT,READY before publish,canonical projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Board,Post editor,Publish/review,"action, comment, revision",missing policy,server policy capability,POST /api/v1/board-posts/{id}/publish-actions,BOARD_PUBLISH,DRAFT->IN_REVIEW|PUBLISHED|REJECTED,all READY,canonical projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Board,Post detail,Read,postId,local view increment,server read receipt,POST /api/v1/board-posts/{id}/read-receipts,BOARD_VIEW,none,download READY refs,canonical projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Board,Mandatory notice,Acknowledge,"postId, acknowledgement",missing,server acknowledgement evidence,POST /api/v1/board-posts/{id}/read-receipts,BOARD_VIEW,none,none,none,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Board,Read report,List receipts,postId,missing,server permission-restricted report,GET /api/v1/board-posts/{id}/read-receipts,BOARD_READ_RECEIPTS_VIEW,none,none,none,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Notifications,Header/popover,List notifications,"cursor, unread, types",Zustand mock,server items projected from event/delivery,GET /api/v1/notifications,NOTIFICATION_VIEW,none,none,resource route,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Notifications,Header/popover,Mark read,"notificationId, revision",local mutation,server read state only,PATCH /api/v1/notifications/{id}/read,NOTIFICATION_VIEW,unread->read,none,resource route,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Notifications,Preferences,Set channels,"event types, channels, quiet hours",not complete,delivery preference only; event retained,PUT /api/v1/notification-preferences,NOTIFICATION_PREFERENCE_MANAGE,preference revision,none,none,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Notifications,Capabilities,Check providers,companyId,missing,server channel readiness,GET /api/v1/notifications/capabilities,NOTIFICATION_VIEW,none,none,none,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Search,Header search,Search,"q, types, cursor, limit",server Provider Registry partial,permission before match/snippet/rank,GET /api/v1/search,SEARCH_USE,none,filenames only after file permission,canonical projectId,FRONTEND_VERIFIED,READ_ONLY_MIRROR; source provider remains owner,CONTRACT_DEFINED
Search,Header search,Keyboard/open result,selected result route,frontend implemented,FRONTEND_ONLY navigation; exact stable route,FRONTEND_ONLY,SEARCH_USE,none,none,canonical projectId,FRONTEND_VERIFIED,READ_ONLY_MIRROR; source provider remains owner,CONTRACT_DEFINED
Search,Mobile search,Full screen search,q,frontend implemented/partial,same endpoint and permission,GET /api/v1/search,SEARCH_USE,none,none,canonical projectId,FRONTEND_VERIFIED,READ_ONLY_MIRROR; source provider remains owner,CONTRACT_DEFINED
Search,Suggestions,Recent/suggested terms,q,missing,no unauthorized resource labels,GET /api/v1/search/suggestions,SEARCH_USE,none,none,none,FRONTEND_VERIFIED,READ_ONLY_MIRROR; source provider remains owner,CONTRACT_DEFINED
